,tempogram_x256,tempogram_y256,tempogram_z320,tempogram_y320,tempogram_x320,tempogram_z319,tempogram_y318,tempogram_z318,tempogram_x319,tempogram_y319,tempogram_z255
48,0.5483796518150901,0.5195457866107852,2.020894650819558e-09,2.1055169873551345e-08,9.377804194072253e-08,2.8291026643619285e-07,4.5395993354002505e-06,2.631731326598116e-06,1.4104905050225496e-06,6.804392626024629e-07,0.6590507202863779
49,0.4890291232274894,0.4543289876297695,1.966820842080861e-09,2.0536177946187583e-08,9.167568697239493e-08,2.767637965853791e-07,4.412773744221616e-06,2.5640689688923685e-06,1.3770121929602682e-06,6.652771190401354e-07,0.63210077096395
50,0.6471101874214971,0.6155781650595058,2.049456573361912e-09,2.1452418032543737e-08,9.61325751142798e-08,2.914356477378047e-07,4.719256369677235e-06,2.7314727882711814e-06,1.4613586644743318e-06,7.033464103607917e-07,0.7469665883462095
51,0.4855393574807244,0.4396131322603514,2.0098641153774203e-09,2.1009560287614983e-08,9.390208465233613e-08,2.8354219745006385e-07,4.491145981350563e-06,2.614729839963617e-06,1.4069918290127643e-06,6.80915778507344e-07,0.6409558303146091
52,0.472083591777038,0.3927711798120877,1.7295143696165956e-09,1.820276349980494e-08,8.219856222893248e-08,2.508455372232244e-07,4.099521127910337e-06,2.373169092085354e-06,1.267945267586768e-06,6.083720658923696e-07,0.6456532080550196
53,0.4858991244013249,0.4505823113002724,1.8375152804188135e-09,1.923301671796187e-08,8.617364488499243e-08,2.611548834251003e-07,4.226262052845695e-06,2.447659576643834e-06,1.309644063012451e-06,6.302368420378003e-07,0.633218532722612
54,0.7033690939820778,0.6735965991156241,2.021591142082521e-09,2.1100086428913216e-08,9.429775959416701e-08,2.858425248824477e-07,4.675723334095184e-06,2.6984464900427258e-06,1.4395501861147468e-06,6.910571259582357e-07,0.7709450582436077
55,0.012559571976807,0.00441326395235,1.3491038175348977e-17,2.03008668409444e-18,-3.426274045183837e-18,5.415172642964464e-18,1.7192061012253121e-18,1.568698756707769e-18,1.129630472961029e-18,-8.775395725818525e-18,0.0968381399693777
56,0.2467005106503448,0.1683403993822893,1.2946967199498046e-09,1.3516166622764277e-08,6.027910718690234e-08,1.814625225299924e-07,2.819725380228621e-06,1.650958180041101e-06,8.929811057504999e-07,4.341216919972398e-07,0.4843013092739129
57,0.9423036006287904,0.935520074054266,9.456010400879523e-10,9.850287775246368e-09,4.3765435340608497e-08,1.3134499985808478e-07,2.0987798188513164e-06,1.2092441355920274e-06,6.479687673623357e-07,3.139703219029474e-07,0.9629113595268848
58,0.5552647199324761,0.5137957625177637,1.972599315865038e-09,2.0709278866056076e-08,9.31513867418963e-08,2.831606390205443e-07,4.599826985000521e-06,2.662968853265108e-06,1.4241074483144931e-06,6.846444368418596e-07,0.6936488282037634
59,0.5786268988353326,0.5681653399005268,2.1490455486940394e-09,2.2331894931760872e-08,9.896729912345177e-08,2.965555071859919e-07,4.6373224416949855e-06,2.7021392649580346e-06,1.4572530391119456e-06,7.080053387538273e-07,0.6894417985808384
60,0.472798938736082,0.4587697289148493,2.06782208566044e-09,2.1443678864711005e-08,9.47978872084642e-08,2.835821547073847e-07,4.418965832428941e-06,2.57731074287133e-06,1.3909509805749774e-06,6.762957690450419e-07,0.6007658350491121
61,0.6837378752689626,0.6808294179668883,2.037820915759617e-09,2.125681294938565e-08,9.474775722348615e-08,2.857206538443776e-07,4.598232208226753e-06,2.6601109459473686e-06,1.424024148786024e-06,6.868347078998298e-07,0.7671285293657486
62,0.6830013462189343,0.6714954614551482,2.071154387833813e-09,2.1560387301680992e-08,9.58536148194958e-08,2.8847665577873265e-07,4.602222139948439e-06,2.6685676265248617e-06,1.4318972172836118e-06,6.921395509730801e-07,0.7619888787787101
63,0.5200467246276259,0.5397104881034416,2.2276059258352227e-09,2.293143182357329e-08,1.002282574152328e-07,2.9634724883959536e-07,4.476189584036493e-06,2.6242263770360117e-06,1.426029129097782e-06,6.994035115223631e-07,0.6273138142593369
64,0.4390718237304233,0.4150833928465802,1.6558872107241095e-09,1.726842844896568e-08,7.701670885601337e-08,2.3267829574556666e-07,3.758467019642083e-06,2.1765483341224776e-06,1.1645942032296265e-06,5.606876439230151e-07,0.580384544648462
65,0.9731411864399822,0.9689095960509472,2.949730325035761e-10,3.078387495654545e-09,1.3724213445063193e-08,4.168816642219624e-08,8.819752989011838e-07,4.633373691835552e-07,2.27891082579119e-07,1.0333926212775587e-07,0.98622431598673
66,0.9789694541237408,0.9682605521915444,2.827830186217739e-10,2.865438915623112e-09,1.226098988866502e-08,3.565845287891052e-08,6.086642906839612e-07,3.326870534510316e-07,1.7300651505831949e-07,8.356805467742939e-08,0.990348266031522
